year,scheme,composition_effect,rate_effect,total_difference,composition_pct,rate_pct
2012,16-category,4.905524776693286,1.0668825224469998,5.972407299140287,82.13647413831644,17.863525861683527
2012,5-category,3.9658318890826796,2.0065754100576068,5.972407299140288,66.40256918937109,33.59743081062887
2012,7-category,4.871559712541049,1.1008475865992393,5.972407299140291,81.56777440886015,18.432225591139822
2013,16-category,4.947364373248261,0.9889111317557631,5.936275505004027,83.34121907040608,16.65878092959387
2013,5-category,3.987737613696721,1.9485378913073022,5.936275505004024,67.1757503561826,32.82424964381739
2013,7-category,4.911490914861139,1.0247845901428834,5.936275505004024,82.7369098809677,17.26309011903228
2014,16-category,4.954485909747071,1.1539333522597,6.108419262006773,81.10913310360091,18.89086689639904
2014,5-category,4.084354567212354,2.024064694794417,6.108419262006773,66.86434561910765,33.13565438089231
2014,7-category,4.915330430742249,1.1930888312645194,6.108419262006767,80.46812472933368,19.531875270666347
2015,16-category,5.019561325271274,1.2881922955079297,6.307753620779205,79.57763773042234,20.422362269577636
2015,5-category,4.010834804194763,2.2969188165844403,6.307753620779204,63.58578735513928,36.41421264486071
2015,7-category,4.9762369134213555,1.3315167073578462,6.307753620779202,78.89079397502906,21.109206024970945
2016,16-category,5.008419438016478,1.342159125548468,6.350578563564942,78.86556142697283,21.134438573027232
2016,5-category,4.029025147030978,2.3215534165339657,6.350578563564943,63.44343443204734,36.55656556795268
2016,7-category,4.967786526902921,1.3827920366620245,6.350578563564946,78.22573135941515,21.77426864058483
2017,16-category,4.830019380746732,1.3365976448670178,6.16661702561375,78.32526911732468,21.674730882675323
2017,5-category,3.8989566285881687,2.267660397025581,6.16661702561375,63.22683267654544,36.773167323454565
2017,7-category,4.7875679497852355,1.3790490758285137,6.166617025613752,77.63686199255642,22.36313800744355
2018,16-category,4.874772398682788,1.131529894761874,6.00630229344466,81.16095661723794,18.839043382762092
2018,5-category,3.9450697108429877,2.0612325826016757,6.006302293444665,65.68217046199413,34.317829538005846
2018,7-category,4.8361394667883,1.1701628266563642,6.006302293444666,80.51775003177092,19.482249968229052
2019,16-category,4.762179286659555,1.2657897444763289,6.027969031135884,79.00138939104986,20.998610608950145
2019,5-category,3.8636913316028014,2.164277699533084,6.0279690311358864,64.09607135746586,35.90392864253412
2019,7-category,4.722346211941457,1.3056228191944272,6.027969031135885,78.34058515479131,21.659414845208673
2020,16-category,4.5283326713483225,1.3801059926244148,5.9084386639727375,76.64178184602743,23.358218153972576
2020,5-category,3.6648899926587255,2.2435486713140116,5.908438663972739,62.028061914321576,37.97193808567838
2020,7-category,4.492460269074192,1.4159783948985465,5.908438663972741,76.03464340702037,23.96535659297959
2021,16-category,4.247580912336177,1.765174780899592,6.012755693235767,70.6428321562212,29.357167843778836
2021,5-category,3.490939021514239,2.5218166717215276,6.012755693235769,58.05888680029818,41.94111319970178
2021,7-category,4.212772890431596,1.79998280280417,6.012755693235767,70.06392917594978,29.936070824050205
2022,16-category,4.422796386787561,1.8099681744334941,6.232764561221053,70.96042764562723,29.0395723543728
2022,5-category,3.525378598564014,2.707385962657038,6.232764561221051,56.56203702123095,43.43796297876906
2022,7-category,4.38478308036933,1.8479814808517219,6.23276456122105,70.35053285424142,29.649467145758624
2023,16-category,4.359407586316461,1.8613500505523195,6.220757636868779,70.0784026768606,29.92159732313942
2023,5-category,3.5659084048588023,2.654849232009978,6.220757636868781,57.32273483417211,42.67726516582788
2023,7-category,4.322652461794932,1.8981051750738493,6.22075763686878,69.4875562451705,30.512443754829533
2024,16-category,4.446402230568589,1.9921001697935337,6.438502400362124,69.0595724608025,30.940427539197486
2024,5-category,3.634057746867966,2.8044446534941576,6.43850240036212,56.44259364823062,43.55740635176944
2024,7-category,4.403034458819205,2.0354679415429198,6.438502400362122,68.3860032198103,31.61399678018973
